% time spent exploring,mean 100 episode reward,steps,episodes
95,3.0,13184,100
91,2.9,26900,200
86,2.9,40687,300
81,3.1,54896,400
77,2.6,67963,500
72,2.9,82541,600
68,2.9,96610,700
63,2.6,110218,800
58,2.8,125081,900
53,3.1,139500,1000
49,3.0,153700,1100
44,3.1,168893,1200
39,2.9,183327,1300
34,3.6,198811,1400
29,3.4,213659,1500
24,3.6,230006,1600
18,3.6,247446,1700
12,4.5,265967,1800
6,4.3,284319,1900
1,5.4,309570,2000
1,6.4,334038,2100
1,5.0,352981,2200
1,6.3,376188,2300
1,5.3,396619,2400
1,5.1,416090,2500
1,5.4,439246,2600
1,6.6,462503,2700
1,6.4,486064,2800
1,6.3,508013,2900
1,7.4,532231,3000
1,6.3,552711,3100
1,6.9,575143,3200
1,6.9,596680,3300
1,6.5,616706,3400
1,6.6,637886,3500
1,8.0,662433,3600
1,7.1,685600,3700
1,5.9,704887,3800
1,7.9,728135,3900
1,6.9,751447,4000
1,7.2,772795,4100
1,6.9,793959,4200
1,7.5,817688,4300
1,7.3,840308,4400
1,7.4,861981,4500
1,7.6,884659,4600
1,7.4,905242,4700
1,7.8,927728,4800
1,7.0,947807,4900
1,7.3,970278,5000
1,7.2,992368,5100
1,6.1,1010519,5200
1,7.8,1035383,5300
1,8.4,1058325,5400
1,7.5,1079271,5500
1,7.7,1099975,5600
1,7.2,1120398,5700
1,7.3,1141786,5800
1,7.8,1164192,5900
1,8.4,1187721,6000
1,7.3,1209835,6100
1,9.0,1234877,6200
1,7.9,1256818,6300
1,7.0,1277411,6400
1,7.5,1299296,6500
1,7.7,1321646,6600
1,7.1,1342744,6700
1,6.0,1360083,6800
1,7.0,1382115,6900
1,7.6,1404124,7000
1,7.6,1427077,7100
1,6.7,1446847,7200
1,6.9,1466343,7300
1,7.4,1487376,7400
1,8.0,1510781,7500
1,8.1,1536213,7600
1,7.9,1560638,7700
1,8.0,1584322,7800
1,8.8,1608914,7900
1,7.0,1629259,8000
1,7.2,1650075,8100
1,7.2,1671285,8200
1,7.9,1692894,8300
1,8.2,1715152,8400
1,8.0,1738874,8500
1,8.5,1763177,8600
1,8.5,1786844,8700
1,8.4,1808591,8800
1,7.5,1830710,8900
1,8.1,1851919,9000
1,8.2,1875253,9100
1,9.0,1900325,9200
1,9.3,1923634,9300
1,8.0,1945175,9400
1,8.2,1966398,9500
1,7.9,1988281,9600
1,8.5,2011807,9700
1,8.2,2035843,9800
1,9.3,2062354,9900
1,7.6,2082627,10000
1,9.8,2109947,10100
1,8.0,2134167,10200
1,8.8,2158053,10300
1,8.1,2179091,10400
1,8.8,2203036,10500
1,8.1,2226626,10600
1,8.3,2248854,10700
1,8.2,2270529,10800
1,8.7,2295017,10900
1,8.0,2317918,11000
1,8.5,2339823,11100
1,6.8,2361354,11200
1,8.3,2383880,11300
1,7.9,2404250,11400
1,7.4,2423978,11500
1,7.9,2444463,11600
1,7.8,2466435,11700
1,10.2,2494217,11800
1,9.6,2519649,11900
1,8.1,2541223,12000
1,8.8,2564433,12100
1,8.0,2586250,12200
1,8.4,2608822,12300
1,8.6,2632711,12400
1,8.7,2655149,12500
1,7.9,2676197,12600
1,8.8,2699589,12700
1,8.9,2722560,12800
1,9.4,2746776,12900
1,10.6,2774464,13000
1,9.3,2798757,13100
1,8.6,2820894,13200
1,9.1,2845930,13300
1,9.0,2869490,13400
1,9.5,2894910,13500
1,8.9,2918039,13600
1,9.3,2941671,13700
1,9.6,2966439,13800
1,10.0,2994037,13900
