% time spent exploring,steps,episodes,mean 100 episode reward
86,41858,100,2.8
71,85218,200,2.7
55,134648,300,3.2
36,193101,400,4.2
4,288340,500,7.9
1,402112,600,11.5
1,512901,700,12.4
1,609026,800,11.8
1,702795,900,10.6
1,795470,1000,11.6
1,887697,1100,11.4
1,978935,1200,10.6
1,1058177,1300,10.3
1,1148758,1400,12.0
1,1233294,1500,10.3
1,1321667,1600,11.5
1,1401505,1700,11.1
1,1479813,1800,10.8
1,1558238,1900,10.5
1,1645215,2000,10.2
1,1728500,2100,10.7
1,1808818,2200,11.6
1,1891851,2300,12.2
1,1981166,2400,13.2
1,2088932,2500,15.2
1,2186728,2600,14.9
1,2270516,2700,13.2
1,2357256,2800,11.7
1,2451219,2900,13.0
1,2531005,3000,11.6
1,2617700,3100,12.0
1,2714487,3200,14.1
1,2801303,3300,13.2
1,2898226,3400,15.7
1,2983678,3500,12.3
