mean 100 episode reward,% time spent exploring,episodes,steps
18.1,80,100,58189
25.0,61,200,116305
34.0,42,300,173324
36.4,25,400,225952
40.9,6,500,283639
44.2,1,600,351165
37.6,1,700,411182
50.5,1,800,488126
49.4,1,900,555794
47.7,1,1000,626129
50.9,1,1100,691775
59.7,1,1200,768823
59.0,1,1300,834114
48.0,1,1400,904211
47.3,1,1500,972755
63.9,1,1600,1055483
65.3,1,1700,1134266
64.7,1,1800,1212785
49.2,1,1900,1286752
52.9,1,2000,1357510
58.9,1,2100,1427756
57.0,1,2200,1497793
61.0,1,2300,1574245
59.5,1,2400,1649955
65.8,1,2500,1723142
61.2,1,2600,1802940
72.5,1,2700,1875900
63.7,1,2800,1950715
58.4,1,2900,2023842
65.8,1,3000,2099704
60.3,1,3100,2172704
59.3,1,3200,2237432
64.0,1,3300,2308857
63.5,1,3400,2378605
79.2,1,3500,2456317
68.3,1,3600,2529038
69.8,1,3700,2606387
61.4,1,3800,2679020
73.0,1,3900,2758780
74.3,1,4000,2847074
74.0,1,4100,2923198
65.7,1,4200,2996324
