steps,episodes,% time spent exploring,mean 100 episode reward
22767,100,92,3.3
43615,200,85,3.4
67896,300,77,3.8
88489,400,70,3.6
114218,500,62,4.7
142031,600,53,4.6
177154,700,41,6.4
216438,800,28,6.8
255678,900,15,7.2
292309,1000,3,7.8
333212,1100,1,8.3
379257,1200,1,10.5
417262,1300,1,9.8
455468,1400,1,9.9
494228,1500,1,9.7
536334,1600,1,11.2
586836,1700,1,10.4
626796,1800,1,10.2
667507,1900,1,10.6
705553,2000,1,10.3
746818,2100,1,11.5
787372,2200,1,11.7
848382,2300,1,10.8
894517,2400,1,12.0
942271,2500,1,11.8
982733,2600,1,10.7
1026053,2700,1,12.7
1071395,2800,1,12.1
1124455,2900,1,11.8
1165762,3000,1,12.5
1209294,3100,1,12.2
1256095,3200,1,12.4
1298135,3300,1,11.5
1346763,3400,1,14.4
1395353,3500,1,12.7
1451664,3600,1,13.0
1497193,3700,1,13.6
1544229,3800,1,15.2
1583207,3900,1,12.4
1629605,4000,1,12.9
1677423,4100,1,14.2
1717194,4200,1,11.8
1761325,4300,1,13.6
1803509,4400,1,13.0
1848390,4500,1,12.8
1943816,4600,1,12.6
1992469,4700,1,14.7
2043855,4800,1,14.1
2086329,4900,1,13.4
2123503,5000,1,11.8
2161564,5100,1,12.0
2200551,5200,1,10.8
2243782,5300,1,14.4
2286119,5400,1,13.2
2330871,5500,1,12.6
2377505,5600,1,11.7
2420770,5700,1,13.4
2463493,5800,1,12.1
2508619,5900,1,13.9
2548772,6000,1,11.3
2588269,6100,1,12.0
2625535,6200,1,11.5
2666205,6300,1,11.9
2705689,6400,1,12.7
2741490,6500,1,10.7
2786758,6600,1,14.2
2830640,6700,1,13.3
2873668,6800,1,14.3
2936369,6900,1,12.3
2976111,7000,1,11.7
